@00000000	00000000
@00000001	03242ABF
@00000002	0647D97C
@00000003	096A9049
@00000004	0C8BD35E
@00000005	0FAB272B
@00000006	12C8106E
@00000007	15E21444
@00000008	18F8B83C
@00000009	1C0B826A
@0000000A	1F19F97B
@0000000B	2223A4C5
@0000000C	25280C5D
@0000000D	2826B928
@0000000E	2B1F34EB
@0000000F	2E110A62
@00000010	30FBC54D
@00000011	33DEF287
@00000012	36BA2013
@00000013	398CDD32
@00000014	3C56BA70
@00000015	3F1749B7
@00000016	41CE1E64
@00000017	447ACD50
@00000018	471CECE6
@00000019	49B41533
@0000001A	4C3FDFF3
@0000001B	4EBFE8A4
@0000001C	5133CC94
@0000001D	539B2AEF
@0000001E	55F5A4D2
@0000001F	5842DD54
@00000020	5A827999
@00000021	5CB420DF
@00000022	5ED77C89
@00000023	60EC382F
@00000024	62F201AC
@00000025	64E88925
@00000026	66CF811F
@00000027	68A69E80
@00000028	6A6D98A3
@00000029	6C24295F
@0000002A	6DCA0D14
@0000002B	6F5F02B1
@0000002C	70E2CBC5
@0000002D	72552C84
@0000002E	73B5EBD0
@0000002F	7504D344
@00000030	7641AF3C
@00000031	776C4EDA
@00000032	78848413
@00000033	798A23B0
@00000034	7A7D055A
@00000035	7B5D039D
@00000036	7C29FBED
@00000037	7CE3CEB1
@00000038	7D8A5F3F
@00000039	7E1D93E9
@0000003A	7E9D55FB
@0000003B	7F0991C3
@0000003C	7F62368E
@0000003D	7FA736B3
@0000003E	7FD8878D
@0000003F	7FF62181
@00000040	7FFFFFFF
@00000041	7FF62181
@00000042	7FD8878D
@00000043	7FA736B3
@00000044	7F62368E
@00000045	7F0991C3
@00000046	7E9D55FB
@00000047	7E1D93E9
@00000048	7D8A5F3F
@00000049	7CE3CEB1
@0000004A	7C29FBED
@0000004B	7B5D039D
@0000004C	7A7D055A
@0000004D	798A23B0
@0000004E	78848413
@0000004F	776C4EDA
@00000050	7641AF3C
@00000051	7504D344
@00000052	73B5EBD0
@00000053	72552C84
@00000054	70E2CBC5
@00000055	6F5F02B1
@00000056	6DCA0D14
@00000057	6C24295F
@00000058	6A6D98A3
@00000059	68A69E80
@0000005A	66CF811F
@0000005B	64E88925
@0000005C	62F201AC
@0000005D	60EC382F
@0000005E	5ED77C89
@0000005F	5CB420DF
@00000060	5A827999
@00000061	5842DD54
@00000062	55F5A4D2
@00000063	539B2AEF
@00000064	5133CC94
@00000065	4EBFE8A4
@00000066	4C3FDFF3
@00000067	49B41533
@00000068	471CECE6
@00000069	447ACD50
@0000006A	41CE1E64
@0000006B	3F1749B7
@0000006C	3C56BA70
@0000006D	398CDD32
@0000006E	36BA2013
@0000006F	33DEF287
@00000070	30FBC54D
@00000071	2E110A62
@00000072	2B1F34EB
@00000073	2826B928
@00000074	25280C5D
@00000075	2223A4C5
@00000076	1F19F97B
@00000077	1C0B826A
@00000078	18F8B83C
@00000079	15E21444
@0000007A	12C8106E
@0000007B	0FAB272B
@0000007C	0C8BD35E
@0000007D	096A9049
@0000007E	0647D97C
@0000007F	03242ABF
@00000080	00000000
@00000081	FFFFFFFFFCDBD542
@00000082	FFFFFFFFF9B82685
@00000083	FFFFFFFFF6956FB8
@00000084	FFFFFFFFF3742CA3
@00000085	FFFFFFFFF054D8D6
@00000086	FFFFFFFFED37EF93
@00000087	FFFFFFFFEA1DEBBD
@00000088	FFFFFFFFE70747C5
@00000089	FFFFFFFFE3F47D97
@0000008A	FFFFFFFFE0E60686
@0000008B	FFFFFFFFDDDC5B3C
@0000008C	FFFFFFFFDAD7F3A4
@0000008D	FFFFFFFFD7D946D9
@0000008E	FFFFFFFFD4E0CB16
@0000008F	FFFFFFFFD1EEF59F
@00000090	FFFFFFFFCF043AB4
@00000091	FFFFFFFFCC210D7A
@00000092	FFFFFFFFC945DFEE
@00000093	FFFFFFFFC67322CF
@00000094	FFFFFFFFC3A94591
@00000095	FFFFFFFFC0E8B64A
@00000096	FFFFFFFFBE31E19D
@00000097	FFFFFFFFBB8532B1
@00000098	FFFFFFFFB8E3131B
@00000099	FFFFFFFFB64BEACE
@0000009A	FFFFFFFFB3C0200E
@0000009B	FFFFFFFFB140175D
@0000009C	FFFFFFFFAECC336D
@0000009D	FFFFFFFFAC64D512
@0000009E	FFFFFFFFAA0A5B2F
@0000009F	FFFFFFFFA7BD22AD
@000000A0	FFFFFFFFA57D8668
@000000A1	FFFFFFFFA34BDF22
@000000A2	FFFFFFFFA1288378
@000000A3	FFFFFFFF9F13C7D2
@000000A4	FFFFFFFF9D0DFE55
@000000A5	FFFFFFFF9B1776DC
@000000A6	FFFFFFFF99307EE2
@000000A7	FFFFFFFF97596181
@000000A8	FFFFFFFF9592675E
@000000A9	FFFFFFFF93DBD6A2
@000000AA	FFFFFFFF9235F2ED
@000000AB	FFFFFFFF90A0FD50
@000000AC	FFFFFFFF8F1D343C
@000000AD	FFFFFFFF8DAAD37D
@000000AE	FFFFFFFF8C4A1431
@000000AF	FFFFFFFF8AFB2CBD
@000000B0	FFFFFFFF89BE50C5
@000000B1	FFFFFFFF8893B127
@000000B2	FFFFFFFF877B7BEE
@000000B3	FFFFFFFF8675DC51
@000000B4	FFFFFFFF8582FAA7
@000000B5	FFFFFFFF84A2FC64
@000000B6	FFFFFFFF83D60414
@000000B7	FFFFFFFF831C3150
@000000B8	FFFFFFFF8275A0C2
@000000B9	FFFFFFFF81E26C18
@000000BA	FFFFFFFF8162AA06
@000000BB	FFFFFFFF80F66E3E
@000000BC	FFFFFFFF809DC973
@000000BD	FFFFFFFF8058C94E
@000000BE	FFFFFFFF80277874
@000000BF	FFFFFFFF8009DE80
@000000C0	FFFFFFFF80000002
@000000C1	FFFFFFFF8009DE80
@000000C2	FFFFFFFF80277874
@000000C3	FFFFFFFF8058C94E
@000000C4	FFFFFFFF809DC973
@000000C5	FFFFFFFF80F66E3E
@000000C6	FFFFFFFF8162AA06
@000000C7	FFFFFFFF81E26C18
@000000C8	FFFFFFFF8275A0C2
@000000C9	FFFFFFFF831C3150
@000000CA	FFFFFFFF83D60414
@000000CB	FFFFFFFF84A2FC64
@000000CC	FFFFFFFF8582FAA7
@000000CD	FFFFFFFF8675DC51
@000000CE	FFFFFFFF877B7BEE
@000000CF	FFFFFFFF8893B127
@000000D0	FFFFFFFF89BE50C5
@000000D1	FFFFFFFF8AFB2CBD
@000000D2	FFFFFFFF8C4A1431
@000000D3	FFFFFFFF8DAAD37D
@000000D4	FFFFFFFF8F1D343C
@000000D5	FFFFFFFF90A0FD50
@000000D6	FFFFFFFF9235F2ED
@000000D7	FFFFFFFF93DBD6A2
@000000D8	FFFFFFFF9592675E
@000000D9	FFFFFFFF97596181
@000000DA	FFFFFFFF99307EE2
@000000DB	FFFFFFFF9B1776DC
@000000DC	FFFFFFFF9D0DFE55
@000000DD	FFFFFFFF9F13C7D2
@000000DE	FFFFFFFFA1288378
@000000DF	FFFFFFFFA34BDF22
