@00000000	00
@00000001	00
@00000002	00
@00000003	01
@00000004	01
@00000005	01
@00000006	01
@00000007	01
@00000008	02
@00000009	02
@0000000A	02
@0000000B	02
@0000000C	02
@0000000D	03
@0000000E	03
@0000000F	03
@00000010	03
@00000011	03
@00000012	04
@00000013	04
@00000014	04
@00000015	04
@00000016	04
@00000017	04
@00000018	05
@00000019	05
@0000001A	05
@0000001B	05
@0000001C	05
@0000001D	06
@0000001E	06
@0000001F	06
@00000020	06
@00000021	06
@00000022	07
@00000023	07
@00000024	07
@00000025	07
@00000026	07
@00000027	08
@00000028	08
@00000029	08
@0000002A	08
@0000002B	08
@0000002C	09
@0000002D	09
@0000002E	09
@0000002F	09
@00000030	09
@00000031	0A
@00000032	0A
@00000033	0A
@00000034	0A
@00000035	0A
@00000036	0B
@00000037	0B
@00000038	0B
@00000039	0B
@0000003A	0B
@0000003B	0B
@0000003C	0C
@0000003D	0C
@0000003E	0C
@0000003F	0C
@00000040	0C
@00000041	0D
@00000042	0D
@00000043	0D
@00000044	0D
@00000045	0D
@00000046	0E
@00000047	0E
@00000048	0E
@00000049	0E
@0000004A	0E
@0000004B	0F
@0000004C	0F
@0000004D	0F
@0000004E	0F
@0000004F	0F
@00000050	10
@00000051	10
@00000052	10
@00000053	10
@00000054	10
@00000055	11
@00000056	11
@00000057	11
@00000058	11
@00000059	11
@0000005A	11
@0000005B	12
@0000005C	12
@0000005D	12
@0000005E	12
@0000005F	12
@00000060	13
@00000061	13
@00000062	13
@00000063	13
@00000064	13
@00000065	14
@00000066	14
@00000067	14
@00000068	14
@00000069	14
@0000006A	15
@0000006B	15
@0000006C	15
@0000006D	15
@0000006E	15
@0000006F	16
@00000070	16
@00000071	16
@00000072	16
@00000073	16
@00000074	16
@00000075	17
@00000076	17
@00000077	17
@00000078	17
@00000079	17
@0000007A	18
@0000007B	18
@0000007C	18
@0000007D	18
@0000007E	18
@0000007F	19
@00000080	19
@00000081	19
@00000082	19
@00000083	19
@00000084	1A
@00000085	1A
@00000086	1A
@00000087	1A
@00000088	1A
@00000089	1A
@0000008A	1B
@0000008B	1B
@0000008C	1B
@0000008D	1B
@0000008E	1B
@0000008F	1C
@00000090	1C
@00000091	1C
@00000092	1C
@00000093	1C
@00000094	1D
@00000095	1D
@00000096	1D
@00000097	1D
@00000098	1D
@00000099	1E
@0000009A	1E
@0000009B	1E
@0000009C	1E
@0000009D	1E
@0000009E	1E
@0000009F	1F
@000000A0	1F
@000000A1	1F
@000000A2	1F
@000000A3	1F
@000000A4	20
@000000A5	20
@000000A6	20
@000000A7	20
@000000A8	20
@000000A9	21
@000000AA	21
@000000AB	21
@000000AC	21
@000000AD	21
@000000AE	21
@000000AF	22
@000000B0	22
@000000B1	22
@000000B2	22
@000000B3	22
@000000B4	23
@000000B5	23
@000000B6	23
@000000B7	23
@000000B8	23
@000000B9	24
@000000BA	24
@000000BB	24
@000000BC	24
@000000BD	24
@000000BE	24
@000000BF	25
@000000C0	25
@000000C1	25
@000000C2	25
@000000C3	25
@000000C4	26
@000000C5	26
@000000C6	26
@000000C7	26
@000000C8	26
@000000C9	27
@000000CA	27
@000000CB	27
@000000CC	27
@000000CD	27
@000000CE	27
@000000CF	28
@000000D0	28
@000000D1	28
@000000D2	28
@000000D3	28
@000000D4	29
@000000D5	29
@000000D6	29
@000000D7	29
@000000D8	29
@000000D9	29
@000000DA	2A
@000000DB	2A
@000000DC	2A
@000000DD	2A
@000000DE	2A
@000000DF	2B
@000000E0	2B
@000000E1	2B
@000000E2	2B
@000000E3	2B
@000000E4	2C
@000000E5	2C
@000000E6	2C
@000000E7	2C
@000000E8	2C
@000000E9	2C
@000000EA	2D
@000000EB	2D
@000000EC	2D
@000000ED	2D
@000000EE	2D
@000000EF	2E
@000000F0	2E
@000000F1	2E
@000000F2	2E
@000000F3	2E
@000000F4	2E
@000000F5	2F
@000000F6	2F
@000000F7	2F
@000000F8	2F
@000000F9	2F
@000000FA	30
@000000FB	30
@000000FC	30
@000000FD	30
@000000FE	30
@000000FF	30
@00000100	31
@00000101	31
@00000102	31
@00000103	31
@00000104	31
@00000105	31
@00000106	32
@00000107	32
@00000108	32
@00000109	32
@0000010A	32
@0000010B	33
@0000010C	33
@0000010D	33
@0000010E	33
@0000010F	33
@00000110	33
@00000111	34
@00000112	34
@00000113	34
@00000114	34
@00000115	34
@00000116	35
@00000117	35
@00000118	35
@00000119	35
@0000011A	35
@0000011B	35
@0000011C	36
@0000011D	36
@0000011E	36
@0000011F	36
@00000120	36
@00000121	36
@00000122	37
@00000123	37
@00000124	37
@00000125	37
@00000126	37
@00000127	38
@00000128	38
@00000129	38
@0000012A	38
@0000012B	38
@0000012C	38
@0000012D	39
@0000012E	39
@0000012F	39
@00000130	39
@00000131	39
@00000132	39
@00000133	3A
@00000134	3A
@00000135	3A
@00000136	3A
@00000137	3A
@00000138	3A
@00000139	3B
@0000013A	3B
@0000013B	3B
@0000013C	3B
@0000013D	3B
@0000013E	3C
@0000013F	3C
@00000140	3C
@00000141	3C
@00000142	3C
@00000143	3C
@00000144	3D
@00000145	3D
@00000146	3D
@00000147	3D
@00000148	3D
@00000149	3D
@0000014A	3E
@0000014B	3E
@0000014C	3E
@0000014D	3E
@0000014E	3E
@0000014F	3E
@00000150	3F
@00000151	3F
@00000152	3F
@00000153	3F
@00000154	3F
@00000155	3F
@00000156	40
@00000157	40
@00000158	40
@00000159	40
@0000015A	40
@0000015B	40
@0000015C	41
@0000015D	41
@0000015E	41
@0000015F	41
@00000160	41
@00000161	41
@00000162	42
@00000163	42
@00000164	42
@00000165	42
@00000166	42
@00000167	42
@00000168	43
@00000169	43
@0000016A	43
@0000016B	43
@0000016C	43
@0000016D	43
@0000016E	44
@0000016F	44
@00000170	44
@00000171	44
@00000172	44
@00000173	44
@00000174	45
@00000175	45
@00000176	45
@00000177	45
@00000178	45
@00000179	45
@0000017A	46
@0000017B	46
@0000017C	46
@0000017D	46
@0000017E	46
@0000017F	46
@00000180	47
@00000181	47
@00000182	47
@00000183	47
@00000184	47
@00000185	47
@00000186	48
@00000187	48
@00000188	48
@00000189	48
@0000018A	48
@0000018B	48
@0000018C	48
@0000018D	49
@0000018E	49
@0000018F	49
@00000190	49
@00000191	49
@00000192	49
@00000193	4A
@00000194	4A
@00000195	4A
@00000196	4A
@00000197	4A
@00000198	4A
@00000199	4B
@0000019A	4B
@0000019B	4B
@0000019C	4B
@0000019D	4B
@0000019E	4B
@0000019F	4B
@000001A0	4C
@000001A1	4C
@000001A2	4C
@000001A3	4C
@000001A4	4C
@000001A5	4C
@000001A6	4D
@000001A7	4D
@000001A8	4D
@000001A9	4D
@000001AA	4D
@000001AB	4D
@000001AC	4E
@000001AD	4E
@000001AE	4E
@000001AF	4E
@000001B0	4E
@000001B1	4E
@000001B2	4E
@000001B3	4F
@000001B4	4F
@000001B5	4F
@000001B6	4F
@000001B7	4F
@000001B8	4F
@000001B9	50
@000001BA	50
@000001BB	50
@000001BC	50
@000001BD	50
@000001BE	50
@000001BF	50
@000001C0	51
@000001C1	51
@000001C2	51
@000001C3	51
@000001C4	51
@000001C5	51
@000001C6	51
